time,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,total_delay_s,queue_delay_s,encryption_delay_s,packet_loss,utilization_rho
28,Traditional,AES-256,219.3317346780512,71.23912106442485,70.1424623910346,999.000199999999,998.9999999999992,0.1096658673390256,0.4300870314846011,0.999
29,Traditional,AES-256,328.25045309069765,47.6008482330494,45.95959596759591,999.000199999999,998.9999999999992,0.1641252265453488,0.6191932141356048,0.999
30,Traditional,AES-256,594.3658260442714,26.28852352429187,23.31669439407051,999.000199999999,998.9999999999992,0.2971829130221357,0.7896918118056651,0.999
31,Traditional,AES-256,576.6595568855763,27.095709788263143,24.21241200383526,999.000199999999,998.9999999999992,0.2883297784427882,0.7832343216938948,0.999
32,Traditional,AES-256,405.82280978954367,38.50202507863713,36.47291102968941,999.000199999999,998.9999999999992,0.2029114048947718,0.6919837993709029,0.999
33,Traditional,AES-256,473.1492617014668,33.023405645423125,30.657659336915792,999.000199999999,998.9999999999992,0.2365746308507334,0.735812754836615,0.999
34,Traditional,AES-256,452.00856149253946,34.56792930736975,32.307886499907056,999.000199999999,998.9999999999992,0.2260042807462697,0.723456565541042,0.999
35,Traditional,AES-256,588.6704367762005,26.54286511408467,23.599512930203662,999.000199999999,998.9999999999992,0.2943352183881003,0.7876570790873226,0.999
36,Traditional,AES-256,476.4982897469063,32.791303423773606,30.408811975039075,999.000199999999,998.9999999999992,0.2382491448734531,0.7376695726098111,0.999
37,Traditional,AES-256,506.1251306091465,30.871812235829008,28.341186582783276,999.000199999999,998.9999999999992,0.2530625653045733,0.7530255021133679,0.999
38,Traditional,AES-256,534.0334330723958,29.25846778937867,26.588300624016693,999.000199999999,998.9999999999992,0.2670167165361979,0.7659322576849706,0.999
39,Traditional,AES-256,585.9344901537179,26.66680364881889,23.737131198050303,999.000199999999,998.9999999999992,0.2929672450768589,0.7866655708094489,0.999
40,Traditional,AES-256,588.1121314193089,26.568062730302323,23.62750207320578,999.000199999999,998.9999999999992,0.2940560657096544,0.7874554981575814,0.999
41,Traditional,AES-256,414.2485391834038,37.71890187181133,35.64765917589431,999.000199999999,998.9999999999992,0.2071242695917019,0.6982487850255094,0.999
42,Traditional,AES-256,482.29429642427226,32.397231557253896,29.985760075132536,999.000199999999,998.9999999999992,0.2411471482121361,0.7408221475419688,0.999
43,Traditional,AES-256,568.1483517532733,27.501619870553423,24.66087811178706,999.000199999999,998.9999999999992,0.2840741758766367,0.7799870410355726,0.999
44,Traditional,AES-256,409.2701533739756,38.17771677506732,36.13136600819744,999.000199999999,998.9999999999992,0.2046350766869878,0.6945782657994615,0.999
45,Traditional,AES-256,535.3812660427768,29.184809015621344,26.50790268540746,999.000199999999,998.9999999999992,0.2676906330213884,0.7665215278750293,0.999
46,Traditional,AES-256,409.4747570383195,38.158640383631216,36.11126659843962,999.000199999999,998.9999999999992,0.2047373785191597,0.6947308769309503,0.999
47,Traditional,AES-256,121.7620200269266,121.7620200269266,121.15320992679196,37.604515356945655,37.604315356945655,0.0608810100134633,0.0,0.999
48,Traditional,AES-256,101.69247813743809,101.69247813743809,101.18401574675087,4.363275522875868,4.363075522875867,0.050846239068719,0.0,0.999
49,Traditional,AES-256,475.17927975412016,32.882326030893225,30.506429632122625,999.000199999999,998.9999999999992,0.23758963987706,0.7369413917528542,0.999
50,Traditional,AES-256,513.5062322031407,30.4280630304382,27.860531869422495,999.000199999999,998.9999999999992,0.2567531161015703,0.7565754957564944,0.999
51,Traditional,AES-256,247.8691315592789,63.0372967448882,61.79795108709181,999.000199999999,998.9999999999992,0.1239345657796394,0.4957016260408943,0.999
52,Traditional,AES-256,359.3034602405062,43.48691768662936,41.69040038542683,999.000199999999,998.9999999999992,0.1796517301202531,0.6521046585069651,0.999
53,Traditional,AES-256,642.1199108885703,24.33346129756046,21.12286174311761,999.000199999999,998.9999999999992,0.3210599554442851,0.8053323096195163,0.999
54,Traditional,AES-256,308.02630965182703,50.72618640161448,49.18605485335535,999.000199999999,998.9999999999992,0.1540131548259135,0.5941905087870841,0.999
55,Traditional,AES-256,389.56947313771457,40.10837880635603,38.16053144066746,999.000199999999,998.9999999999992,0.1947847365688572,0.6791329695491517,0.999
56,Traditional,AES-256,144.73541716368868,107.9556082830016,107.23193119718316,999.000199999999,998.9999999999992,0.0723677085818443,0.1363551337359873,0.999
57,Traditional,AES-256,683.3178766300725,22.86637088591624,19.449781502765877,999.000199999999,998.9999999999992,0.3416589383150363,0.8170690329126701,0.999
58,Traditional,AES-256,566.9532660510263,27.55959077338438,24.724824443129247,999.000199999999,998.9999999999992,0.2834766330255131,0.779523273812925,0.999
59,Traditional,AES-256,513.5989943179677,30.42256735870204,27.8545723871122,999.000199999999,998.9999999999992,0.2567994971589838,0.7566194611303837,0.999
0,Improved_SAN_FC,No Encryption,82.80398952250455,82.80398952250455,82.80398952250455,0.0433901532602717,0.0431901532602717,0.0,0.0,0.999
1,Improved_SAN_FC,No Encryption,111.76723353865754,111.76723353865754,111.76723353865754,0.0593914490225248,0.0591914490225248,0.0,0.0,0.999
2,Improved_SAN_FC,No Encryption,64.64878794625321,64.64878794625321,64.64878794625321,0.0336041633082449,0.0334041633082449,0.0,0.0,0.999
3,Improved_SAN_FC,No Encryption,107.75631998114328,107.75631998114328,107.75631998114328,0.0571463230972817,0.0569463230972817,0.0,0.0,0.999
4,Improved_SAN_FC,No Encryption,91.59075309690756,91.59075309690756,91.59075309690756,0.0481932452882096,0.0479932452882096,0.0,0.0,0.999
5,Improved_SAN_FC,No Encryption,55.33354409012603,55.33354409012603,55.33354409012603,0.0286540024444636,0.0284540024444636,0.0,0.0,0.999
6,Improved_SAN_FC,No Encryption,94.38864856004818,94.38864856004818,94.38864856004818,0.0497319512495161,0.0495319512495161,0.0,0.0,0.999
7,Improved_SAN_FC,No Encryption,61.67169985579479,61.67169985579479,61.67169985579479,0.0320169527067249,0.0318169527067249,0.0,0.0,0.999
8,Improved_SAN_FC,No Encryption,102.35010135836812,102.35010135836812,102.35010135836812,0.0541351865861199,0.0539351865861199,0.0,0.0,0.999
9,Improved_SAN_FC,No Encryption,139.3142348376179,139.3142348376179,139.3142348376179,0.0750725214359126,0.0748725214359126,0.0,0.0,0.999
10,Improved_SAN_FC,No Encryption,56.8872108278633,56.8872108278633,56.8872108278633,0.0294763297863425,0.0292763297863425,0.0,0.0,0.999
11,Improved_SAN_FC,No Encryption,88.90693512915087,88.90693512915087,88.90693512915087,0.0467215100004348,0.0465215100004348,0.0,0.0,0.999
12,Improved_SAN_FC,No Encryption,142.58131978695562,142.58131978695562,142.58131978695562,0.0769631559356351,0.0767631559356351,0.0,0.0,0.999
13,Improved_SAN_FC,No Encryption,70.6805701060211,70.6805701060211,70.6805701060211,0.0368349755311929,0.0366349755311929,0.0,0.0,0.999
14,Improved_SAN_FC,No Encryption,110.33314409401618,110.33314409401618,110.33314409401618,0.0585876167109455,0.0583876167109455,0.0,0.0,0.999
15,Improved_SAN_FC,No Encryption,312.37246744374755,312.37246744374755,312.37246744374755,0.1852956217635276,0.1850956217635276,0.0,0.0,0.999
16,Improved_SAN_FC,No Encryption,208.1900883937167,208.1900883937167,208.1900883937167,0.1163898296494425,0.1161898296494425,0.0,0.0,0.999
